audio,transcription
/Users/air/Downloads/Ненецкие аудио/data/003_185892.21875_194785.34375.wav,"иерусалимхад товы моисей' ватом' теневана"" ма"" сёнзянда мюня веельзевул таня пыда ӈылекы"" ерв' ныхым' мэць ӈылекы питарпи"
/Users/air/Downloads/Ненецкие аудио/data/003_195342.21875_202564.71875000006.wav,"ӈадьбята иисус сиддо' нянда хаӈгая хара явна ӈэда лахарём' мэць тарем' ма сатана ханзер"" сатанам' питарць пиртада"
/Users/air/Downloads/Ненецкие аудио/data/003_203340.96875_210479.09375.wav,"параӈода' я' тер"" харто' помнандо' поёмбаб""нандо' параӈодандо' я мюданда тахараӈгу тамна тяха' нусь нида пирас"""
/Users/air/Downloads/Ненецкие аудио/data/003_211474.71875_219844.71875000003.wav,"мяд' тер"" помнандо' поёмбабто' мято' пон' нусь нида пират"" сатана' я мюданда тахарабта нусь нида пират"""
/Users/air/Downloads/Ненецкие аудио/data/003_224295.35171846783_230877.89730545875.wav,"мэбета ненэця' илебциеда мякаданда хибяхарт тале нида пират"" сита сяр""марихид илебцо"" тале пиртыд"""
/Users/air/Downloads/Ненецкие аудио/data/003_231533.4595839099_238947.21875.wav,"ненэся нянда"" мадм' ненэцие"" хуркари хэбяхандо' вэвакумдёвандо' танявы ӈэб"" ӈод"" мал' ха""маӈгуд"""
/Users/air/Downloads/Ненецкие аудио/data/003_239959.71875_245376.59375.wav,"хэбидя индадм' вэвута' хэбяхыда иланда панан' нид"" ха""маӈгу"" хэбяхыда пили"" нянанда ӈэӈгу"""
/Users/air/Downloads/Ненецкие аудио/data/003_246777.21875_256463.46875.wav,"ханяӈы"" ненэця"" иисус' сёнзя' мюня ӈылека мэнаӈэ пэрмы"" ӈадьбята пыда тарем' лаханавы тарем' мэнаханда небяда хасава нита ня' то"""
/Users/air/Downloads/Ненецкие аудио/data/003_257577.21875000003_266132.84375.wav,"мяд' хэвхана ну"" сита хосая ненэцям' нянда ӈэдара"" иисус' хэвхана ненэцие"" мандал"" ӈамды"" нянда ма"""
/Users/air/Downloads/Ненецкие аудио/data/003_267060.96875_275532.21875.wav,"сыр"" пихиня небяр хасава нид не нид мэ"" сит хонрамби"" тадтикахад иисус ма мань небями хибя"
/Users/air/Downloads/Ненецкие аудио/data/003_276291.59375_284239.71875.wav,"мань хасава нини хибя"" ӈамдёди"" сид"" нямна саӈомда ӈэдарахая ма мань небями мань хасава нини ти"" мэна"""
/Users/air/Downloads/Ненецкие аудио/data/003_285032.84375000006_289200.96875.wav,"нум' вату нёдана"" тикы"" мань хасава нини не нини небями"
/Users/air/Downloads/Ненецкие аудио/data/004_3186.59375_12602.843750000002.wav,"иисус то' хэвхана ӈани' ненэцие тохоламба пя ӈока ненэцие"" нянда ма""лёва' нид тохона ӈэвы ӈано' мю' тий"" ӈамды"" ненэцяӈгав"" мал' то' вархана хаи"""
/Users/air/Downloads/Ненецкие аудио/data/004_13632.21875_20095.34375.wav,"хара явна ӈэда лахарю мэць иисус сиддо' хуркари"" серк"" тохоламби тохоламбаванда сер' няндо' тарем' ма"
/Users/air/Downloads/Ненецкие аудио/data/004_20753.46875_26018.46875.wav,"инзеледа"" ти нянь' ӈуво"" сэв моёпада нянянда ӈуво"" сэв моё""манзь тарпы"""
/Users/air/Downloads/Ненецкие аудио/data/004_26609.09375_35637.21875.wav,"нянь' ӈуво"" сэв моёпаванда мальӈгана ханяӈы нянь' ӈуво"" сэв"" сехэры' ни' ха""мыд"" нув' сармик"" то"" ӈамъядо' ханяӈыдо' пэ я' ни' ха""мыд"""
/Users/air/Downloads/Ненецкие аудио/data/004_36514.71875_44918.46875.wav,"ненэй янда хоба тора ӈэвы минханда тикы яхад ӈамдэдо"" сэв"" тю""у' ӈадимя"" хаерад' тю""у' тарпава' сер' нянь' ӈамдэд"" сэлӈа"""
/Users/air/Downloads/Ненецкие аудио/data/004_45458.46875_55229.09375.wav,"паӈгсявандо' нид тыра"" ханяӈыдо' нацдэй ӈуво"" понд' ха""мыд"" нацдэй ӈуво"" тю""у' вадёва' сер' нянь' ӈуво"" сэв"" тидха""нато' вадёда ӈэвадэяд"""
/Users/air/Downloads/Ненецкие аудио/data/004_55887.21875_60240.96875.wav,"тэри таросялма"" ханяӈыдо' сава ян' ха""мыд"" вады"""
/Users/air/Downloads/Ненецкие аудио/data/004_60949.71875_70433.46875.wav,"нядандо' няхар"" юд' мэва' мат"" юд' мэва' юр' мэва' нянь' ӈуво"" сэв"" вады"" иисус няндо' ма хавода намдорта инзелея"
/Users/air/Downloads/Ненецкие аудио/data/004_72542.84375_81317.84375000001.wav," ӈока ненэцие"" хэ""мяхад харта хаё""мяхаданда юкад вата сидяда ӈани"" хэвхананда мэвы"" ненэця"" хара явна ваде""мыта нямна сита хонра"""
/Users/air/Downloads/Ненецкие аудио/data/004_83663.46875_92235.96875.wav,"пыдара"" нянанда"" нум' параӈода' я' таклада сер' хамэдита ӈади ӈани"" ненэцяӈг"" хусувэй ӈамгэ хара явна ӈэда лахарём' мэць ваде""мы ӈэӈгу"
/Users/air/Downloads/Ненецкие аудио/data/004_93012.21875_101837.84375.wav,"пыдо' ӈани' сэвто' сырп"" ӈод"" нидо' мание"" хавото' намдорп"" ӈод"" нидо' хамэдамбю"" нум' няку' ӈэвы ӈэбто' хэбяхыдо' ха""маӈгудаць"
/Users/air/Downloads/Ненецкие аудио/data/004_102833.46875_109549.71875.wav,"иисус няндо' ма тикы лахарё' харам' нира"" хамэдамбю"" тадтикахад ӈани лахарю"" хари ханзер"" хамэдаӈгуда"""
/Users/air/Downloads/Ненецкие аудио/data/004_110359.71875_119843.46875.wav,"нянь' ӈуво"" сэв моёпада вадам' моёпадараха ханяӈы"" ненэця"" сехэры' ни' ха""амвы нянь' ӈуво"" сэвраха"" нум' вадам' намд""махадандо'"
/Users/air/Downloads/Ненецкие аудио/data/004_120434.09375_129462.21875.wav,"няндо' сатана минханда турӈа сейхато' ха""амвы вади хан""лэйда ӈани ханяӈы"" пэ я' ни' ха""амвы нянь' ӈуво"" сэвраха"""
/Users/air/Downloads/Ненецкие аудио/data/004_130356.59375_137882.84375.wav,"намдавы нум' вади минхандо' маймба сейхато' пэмбидо' ӈопой паӈгсяда ӈамдэдо"" то""лаха"" ӈадьбято' пон' иле нидо' пирас"""
/Users/air/Downloads/Ненецкие аудио/data/004_138709.71875_147552.21875.wav,"сяхари' мая' ёльцьӈгана нум' вадам' волтамбади"" питарпади"" ӈадимб"" пунрёбцомдо' минхандо' ёпидо' ханяӈы"" нацдэй"" понд' ха""амвэраха"""
/Users/air/Downloads/Ненецкие аудио/data/004_148294.71875000003_155770.34375000003.wav,"вадам' намдадо' намдавы вадидо' ила' саиро"" тэтерман' харвабцу"" ӈани сямян харвабцу"" тяхаворӈа"""
/Users/air/Downloads/Ненецкие аудио/data/004_156529.71875_163718.46875.wav,"тикы вада"" сейхатато' ян' ха""морӈа"" таросялворӈа"" ӈани ханяӈыдо' сава ян' ха""амвы нянь' ӈуво"" сэв"" то""лаха"""
/Users/air/Downloads/Ненецкие аудио/data/004_164629.71875000003_173691.59375.wav,"намдавы вадидо' сейто' ибето' ядан' поя ха""морӈа"" ханяӈыдо' няхар"" юд' мэва' нябидо' мат"" юд' мэва' ӈани ханяӈыдо' юр' мэва' таром' ха""аврамби"""
/Users/air/Downloads/Ненецкие аудио/data/004_175260.96875000003_179412.21875000003.wav,"иисус тамна тяха' няндо' ма ӈамгэ' е""эмня серекабт тюнебада"
/Users/air/Downloads/Ненецкие аудио/data/004_180087.21875_188001.59375.wav,"минханда ӈарка хыдяхана лэёмда такалпава' е""эмня таси' ва""ав' хэван' ӈабтава' е""эмня нарам' ни' ӈабтаванзь таславы ни ӈа"""
/Users/air/Downloads/Ненецкие аудио/data/004_189419.09375_195409.71875.wav,"ӈобкарт таклада сер"" ӈадимадавэй' хаё нида пирас"" хуркари тале мэта сер"" тю""у' ӈадимда"
/Users/air/Downloads/Ненецкие аудио/data/004_196354.71875_204285.96875.wav,"хибя инзелена хавода таняна намдая пыда няндо' ма намдорта вадахата"" сававна инзеледа"""
/Users/air/Downloads/Ненецкие аудио/data/004_205163.46875_213786.59375.wav,"ся' пирувна ӈамгэм' ми""ӈада"" та' пирувна ӈамгэм' ня""маӈгуда"" тамна ваць хоӈгуда"" ӈамгэнда таняна' ӈамгэда тамна тяха' ӈокамда"
/Users/air/Downloads/Ненецкие аудио/data/004_214697.84375_223844.09375.wav,"ӈамгэхэртасядахад ӈамгэнда таняб"" мармы ӈэӈгу тадтикахад иисус тарем' ма нум' параӈода' я тарця' то""лаха"
/Users/air/Downloads/Ненецкие аудио/data/004_224451.59375_231437.84375.wav,"ӈопой ненэць' нянь' ӈуво"" сэв ян' моё""яда тикы' пуд пыда пи' хоны яля' юркорӈа"
/Users/air/Downloads/Ненецкие аудио/data/004_232028.46875_237985.34375000003.wav,"ӈамдэдо"" паӈго"" тю""у' ханзер"" ӈадимяхад вадёвахад ерме я ӈамдэдо харта соябтамбида"
/Users/air/Downloads/Ненецкие аудио/data/004_238525.34375_247367.84375.wav,"пили"" нерде ӈамдэдо"" сэв ӈадимдемби тикы' пуд ӈамдэдо"" ӈэва"" ӈадиберӈа"" ӈамдэдо"" ӈэв"" мюня нянь' ӈуво"" сэв"" ӈархандо' сояӈга"""
/Users/air/Downloads/Ненецкие аудио/data/004_248329.71875_257307.21875.wav,"ма""лава' ёльцянда тоб"" нянь' ӈуво"" сэв"" похо""махадандо' таминда матора мэта пидерцям' мэць пяӈгу"" тадтикахад иисус ма"
/Users/air/Downloads/Ненецкие аудио/data/004_258083.46875_267989.09375.wav,"нум' параӈода' ям' ӈамгэ' то""лахаӈэ таслаӈгува"" хурка хара явна ӈэда лахарём' мэць вадетава"" нум' параӈода' я горчица' пя' сэв' то""лахако"
/Users/air/Downloads/Ненецкие аудио/data/004_272849.09375_281472.21875.wav,"ян' ха""ма""махаданда ӈамдэта мал тю""у' ӈадиберӈа ӈани нита нимня ӈаркаӈэ таркаляӈгаӈэ вадюрӈа"
/Users/air/Downloads/Ненецкие аудио/data/004_282062.84375_290449.71875000006.wav,"тидхананда нув' сармик"" хэӈгадамдо' хомби"" тарця хара явна ӈэда лахарю мэць хамэдавандо' пирувна няндо' лаханась"
/Users/air/Downloads/Ненецкие аудио/data/004_291259.71875_298178.46875000006.wav,"хара явна ӈэда лахарёсипой"" нись лахан"" тохоламбадарихита вади"" хари хамэдито' сер' яӈга ваде""ядась"
/Users/air/Downloads/Ненецкие аудио/data/004_300355.34375000006_307763.46875.wav,"иисус' поӈгэй мерцям' янимда""ма тикы яля' пэвсюмя' няна иисус тохоламбадахата ма то' тяханя' хэхэва"" ненэцие хаейдо'"
/Users/air/Downloads/Ненецкие аудио/data/004_308320.34375_314513.46875.wav,"ӈанонда мюня мэванда сер' тохоламбадида сита нянандо' хана"" ӈанонда хэвхана ӈани"" ӈано"" танявы"""
/Users/air/Downloads/Ненецкие аудио/data/004_315610.34375_322174.71875.wav,"лакри' сата поӈгэй мерцяӈэ хая ӈарка хамба"" ӈано' ядан' тебвандо' сер' ӈаном' икана пандамбидо'"
/Users/air/Downloads/Ненецкие аудио/data/004_323288.46875_330679.71875.wav,"пыркабтадота пыда ӈано' пуй вэкана хоны сита сидеба нянда ма"" сидна"" тохоламбадава"""
/Users/air/Downloads/Ненецкие аудио/data/004_331185.96875_338796.59375.wav,"хавандарахава"" нямнана"" ир ӈоб' ни няркан"" юрка""махаданда пыда мерцям' таӈылмда тон' вахалъй"""
/Users/air/Downloads/Ненецкие аудио/data/004_339606.59375_349140.96875.wav,"мунзялв"" ӈэвадад"" таминда мерцяда ӈэвадэй"" хури' хэ""нёӈэ хая пыда няндо' ма сейда"" нена"" ябта""нё"""
/Users/air/Downloads/Ненецкие аудио/data/004_349917.21875_357966.59375.wav,"пыдара"" тедари' пунрёбцора"" тарси"" тянёнё"" пыдо' ӈули"" сейсялмы"" помнандо' няхато' хонарку"" пыда хибя ӈэбта"
/Users/air/Downloads/Ненецкие аудио/data/014_3591.5937500000005_7860.96875.wav,"сидя яля' ёльцьӈгана пасхаха' тимд""масяда нянь' хэбидя яляха' тутӈаха'"
/Users/air/Downloads/Ненецкие аудио/data/014_8586.593750000002_16382.84375.wav,"ӈарка ханондана"" моисей' ватом' теневана"" иисусм' маядаванзь хэд""мана ня""маван' харвадо' пыдо' ма"" ни""им'"
/Users/air/Downloads/Ненецкие аудио/data/014_17192.84375_27860.61452101664.wav,"ненэцие"" нерцилавоӈгад ӈопой хэбидя яляхана хада ни тара"" ӈобӈгуна иисус вифания' ӈысыхына иленя ниня тораӈгана мерёхона хаӈгурмы симон' мякана мэвы"
/Users/air/Downloads/Ненецкие аудио/data/014_28593.91263984234_34386.13286125573.wav,"ӈаворманда ёльцьӈгана ӈопой не мирета хыдя' мюня ё""йда саць мирета нардам' нюбета"
/Users/air/Downloads/Ненецкие аудио/data/014_34865.05196640813_41172.21875.wav,"тэбъяна юрм' минре мятю тикы' пуд хыдямда тахабтахая ё""йда юрта иисус' ӈэва' ни' вабтада"
/Users/air/Downloads/Ненецкие аудио/data/014_42100.34375_48090.96875.wav,"ханяӈы мядонда"" помнандо' нерцирць лахана"" тарем' мирета юрм' садпава ӈамгэ тарода таня"
/Users/air/Downloads/Ненецкие аудио/data/014_48732.21875_56899.71875000001.wav,"тикы ё""йда юрм' няхар"" юр"" ненэй есяхад ватавна мирдапа саванё"" недва""мы есь маӈгбадаха"" мип"" саванё"" тарем' нем' тэдорпидо'"
/Users/air/Downloads/Ненецкие аудио/data/014_57625.34375000001_64949.09375.wav,"иисусхав няндо' ма нем' ӈэвадалара"" ӈамгэ нянанда таркуда"" пыда мань е""эмняни сава серм' серта"
/Users/air/Downloads/Ненецкие аудио/data/014_66130.34375000001_74230.34375.wav,"маӈгбада ненэця"" хусувэхэд нянанда"" мэӈгу"" харвабцонда"" таняб"" пыдара"" хусувэхэд нядаба пиртыда"" ӈари"" маньзяван нянанда"" ӈоб' вунидм' мэӈгу"""
/Users/air/Downloads/Ненецкие аудио/data/014_75293.46875_80575.34375.wav,"пыдхавада пирувнанда серта серта"" нидав' ӈахакуд ӈаями сюрма' нерня масарӈада"
/Users/air/Downloads/Ненецкие аудио/data/014_81722.84375000001_90987.21875.wav,"ненэся нянда"" мадм' я' тиӈгэхэна ханяримна маймбабцо юнм' ненэцяӈг"" тэвва' ёльцьӈгана тюку нем' тензибтехэя сертаӈгу""мида вадетыдо'"
/Users/air/Downloads/Ненецкие аудио/data/014_92708.46875_100757.84375.wav,"кариот' тер иуда иисус' юкад вата сидя тохоламбадита ӈопойдо' ӈэвы пыда ӈарка ханонданаха"" иисусм' тадаванзь хая"
/Users/air/Downloads/Ненецкие аудио/data/014_102023.46875_110325.96875.wav,"пыдо' иуда' вади намда саць майвандо' нид нянда ненэй есь ми""манзь ватораць пыда ӈо"" иисусм' тадава' е""эмня сава ёльцярим' пюрӈа"
/Users/air/Downloads/Ненецкие аудио/data/014_112604.09375_120455.83675399765.wav,"тимд""масяда нянь' хэбидя яля' нюртей яляхана пасха' ед' ӈэда хум' хадава яляхана иисус' тохоламбадида сита хонра"""
/Users/air/Downloads/Ненецкие аудио/data/014_121325.40824434407_129647.84375000001.wav,"пыдар ханяна пасха' ед' ӈэда хум' ӈаман' харвар маня"" хандава"" ӈахакуд хамэдаӈгува"" тадтикахад сидя тохоламбадамда ӈэдарахая ма"" нив'"
/Users/air/Downloads/Ненецкие аудио/data/014_130457.84375_138608.46875.wav,март' хаяди' неранди' няна ид' ӈэсям' минрена ненэцям' хоӈгуди' пумнанда хаяди' ханя' мятюӈгу
/Users/air/Downloads/Ненецкие аудио/data/014_139283.46875_147704.09375.wav,"тикы мяд' ерван' мади' сидна"" тохоламбадава"" тарем' хонаркусь тохоламбади""ни ня' пасха' ӈаварм' ханяӈы лабэкана ӈавортава"""
/Users/air/Downloads/Ненецкие аудио/data/014_148919.09375_158537.84375.wav," тикы' пуд мяд' ерв тю""уна ӈэда ӈахакуд хэбидя яля' ед' хамэдёда ӈарка""я лабэсм' манэ""лабтаӈгу таняна маня"" е""эмняна"" пасха' ӈаварм' хамэдада"""
/Users/air/Downloads/Ненецкие аудио/data/014_159212.84375000003_167346.59375.wav,"тохоламбадида хая"" март' тэв""махадандо' пыда ваданда сер' ӈэда хусувэй ӈамгэм' ховы"" пасха' ед' ӈэда ӈаварм' хамэда"""
/Users/air/Downloads/Ненецкие аудио/data/014_173640.96875_181504.71875.wav,"ӈавормандо' ёльцьӈгана иисус ма"" нив' ненэся нянда"" мадм' хэвханани ӈавортаӈэ ӈопойра"" си""ми саюху"" мита"
/Users/air/Downloads/Ненецкие аудио/data/014_182483.46875_188929.71875.wav,"пыдо' ибедо' вома"" ӈоб' пуд сита хонрамба пя"" мань ӈэдакэдм' иисус няндо' ма"" нив'"
/Users/air/Downloads/Ненецкие аудио/data/014_190110.96875_199088.46875.wav,"юкад вата сидяхад ӈопойра"" ханяӈэра"" няньмда ӈопой хыдя' мю' нянани палабтамбида тикара"" ӈабцата хэбидя падаркана падвы' сер'"
/Users/air/Downloads/Ненецкие аудио/data/014_199645.34375_208724.09375.wav,"ненэця' ню' падарта ӈэӈгу неноховавна ненэця' нюм' саюху"" ми""манда маяндорта та' екававна нись сояӈгу"" ханяцей' сава ӈэӈгусь"
/Users/air/Downloads/Ненецкие аудио/data/014_210259.71875_218714.09375.wav,"ӈавормандо' ёльцьӈгана иисус няньм' ня""ма нумд' сава вади мэ""ӈа няньм' мардахая тохоламбадахата нид лахана ми""ӈада"
/Users/air/Downloads/Ненецкие аудио/data/014_219355.34375_227539.71875.wav,"ня""мара"" ӈаворӈара"" тюку мань пыхыдами хыдям' ня""ма нумд' сава вади хэта няндо' тикы хыдям' ми""ӈада"
/Users/air/Downloads/Ненецкие аудио/data/014_228501.59375_236837.84375.wav,"тикы хыдя' терм' мал' тю""у' ӈэрпидо' пыда няндо' ма тюку ӈока ненэцие"" е""эмня хамдавы мань вэями"
/Users/air/Downloads/Ненецкие аудио/data/014_241410.96875_249892.93518808272.wav,"маньзяв нум' параӈода' яхана едэй няръяна сяркам' ӈэрмани ӈэсонд' виноградм' нюбета ӈодяхат сертавы сяркам' нив ӈэрпаӈгу"""
/Users/air/Downloads/Ненецкие аудио/data/014_250686.79694082084_260007.21875.wav,"тадтикахад нумд' сёё мэсо""махадандо' елеон' хоян' хая"" иисус тохоламбадахата ма"" нив' хэбидя падаркана тарем' пады"
/Users/air/Downloads/Ненецкие аудио/data/014_260901.59375000003_270419.09375.wav,"нум' еням' маядаӈгу ху"" хунаӈгуд"" пыдара"" ӈод"" мал' нядни таялтыда"" яӈор' илело""махадани неранда"" няна галилея' ян' хандадм'"
/Users/air/Downloads/Ненецкие аудио/data/014_271245.96875000006_279413.46875.wav,"петр нянда ма"" нив' няданд хибяри"" пыхыдадо' таялпабто' маньзяв сяхаӈгарт' сит нидм' хаеӈгу"" иисус нянда вахалъй"""
/Users/air/Downloads/Ненецкие аудио/data/014_280324.71875000006_287985.96875000006.wav,ненэся нянд мадм' тюку яля' пи' харад' хоркы сидя' тёрева' нерня пыдар няхар' нядни пыхыдамд таялпаӈгур
/Users/air/Downloads/Ненецкие аудио/data/014_288711.59375_297385.34375.wav,"петркав ханяцей' тамна саць лаханорӈа нянанд хась мань еремгартба""ни няданд нив"" таялт"" ӈани тохоламбадида ӈани' тарем' лахана"""
/Users/air/Downloads/Ненецкие аудио/data/014_299427.21875_306362.84375.wav,"гефсиманиям' нюбета ян' тэв""махадандо' иисус тохоламбадахата ма"" нив' туё""мани ёльцьӈгана пыдара"" тюкохона ӈамдыда"""
/Users/air/Downloads/Ненецкие аудио/data/014_307375.34375_314682.21875.wav,"нянанда петрм' иаковм' тика иоаннм' хана иисус' сёнзянда мюй тахара пыда няндо' вахалъй"""
/Users/air/Downloads/Ненецкие аудио/data/014_315694.71875_322377.21875.wav,"хава' пирувна сёнзями вэва тюкохона мэда"" ӈопой нёда"" хоню"" пыда нядандо' хаця"" нерняку' хая"
/Users/air/Downloads/Ненецкие аудио/data/014_323288.46875_331219.71875.wav,"тад тованда сер' ян' нибкалкая тарем' туёць пэй"" тикы мая' си""ми хэробта пирпата хэробтая пыда тарем' ма"" нив'"
/Users/air/Downloads/Ненецкие аудио/data/014_332249.09375000006_342087.21875000006.wav,"авва"" нися"" пыдар хусувэй ӈамгэм' пир""ӈан тюку хыдя нядни хэвня' ханад тарем' ӈэбта ӈод"" мань харвабцони сер' нёя ӈа"""
/Users/air/Downloads/Ненецкие аудио/data/014_342964.71875000006_352465.34375000006.wav,"пыдар харвабцонд сер' ӈэя тадтикахад пыда пуня' салъй"" тохоламбадида хонёдахандо' хойда петарт' вахалъй"" симон хонын"
/Users/air/Downloads/Ненецкие аудио/data/014_353393.46875_361881.59375.wav,"ӈопой часхарт' немаси"" мэсь нир пирас"" вэва серт' нива еремя' е""эмня нёда"" хоню"" туё""ӈада"" сёнзя' харвабцода ӈока"
/Users/air/Downloads/Ненецкие аудио/data/014_362843.46875_371702.84375.wav,"пыхыдахав' ныхыда тянё иисус ӈани' пырдари' хая ӈобтикы вадаха""ната туё""ӈа тадтикахад пуня' салкая ӈани' хонёдахандо' хойда"
/Users/air/Downloads/Ненецкие аудио/data/014_372630.96875_381270.96875.wav,"пыдо' сэвто' вар"" ӈоб' ня' сюркарӈга"" нянда ӈамгэм' хэта таравам' нидо' хамэдамбю"" няхаромдэй' няндо' тованда сер' пыда ма"" нив'"
/Users/air/Downloads/Ненецкие аудио/data/014_382536.59375_391176.59375000006.wav,"тамна хоныда"" ныланада"" мась ӈэя ёльцянда то ти ненэця' нюм' хэбяхасавэй ненэцие"" ӈудаха"" митадо'"
/Users/air/Downloads/Ненецкие аудио/data/014_391986.59375_397504.71875000006.wav,"юркыда"" хэхэва"" сырӈада"" си""ми ми""манзь ватормы ненэць' мале хахаи"
/Users/air/Downloads/Ненецкие аудио/data/014_399141.59375_404085.96875.wav,иисус' вадамда малевдавэй' юкад вата сидяхад ӈопойдо' иуда тикавна ӈадимя
/Users/air/Downloads/Ненецкие аудио/data/014_405165.9687500001_414870.94604325894.wav,"ӈарка ханондани"" моисей' ватом' теневани"" ненэцие"" ӈаркти"" ӈэдаравы ненэцие"" мандал"" палысавэй' ладорабць' пясавэй' нянанда то"""
/Users/air/Downloads/Ненецкие аудио/data/014_415710.4527423557_425129.09375.wav,"иисусм' ми""манзь ватормы ненэць' няндо' ненадумда""мам' вадекая тарем' лахана хибям' нюцяӈгудм' тикы ти ня""маира"" тосарка ханаира"""
/Users/air/Downloads/Ненецкие аудио/data/014_426074.09375_433077.21875.wav,"та' ёльцьӈгана иуда тидпой"" иисусан' ялъй"" вахалъй"" равви тикаринда иисусм' нюцяда"
/Users/air/Downloads/Ненецкие аудио/data/014_434258.46875_442240.34375.wav,"пыдо' таминдо' сита ня""ма ерамбидо' хэвхананда мэвы ӈопойдо' палым' нэкалӈа ӈарка ханондана' хаби' хам' сапада"
/Users/air/Downloads/Ненецкие аудио/data/014_443050.34375_449380.5882454353.wav,"тадтикахад иисус няндо' вахалъй"" мартикм' ня""мувндадрев' си""ми ня""маванзь палыта палкадё няни тода"""
/Users/air/Downloads/Ненецкие аудио/data/014_450031.75924590783_457286.58593099116.wav,"хусувэй яля' мань нянанда"" хэбидя хардахана мэсетыдамнё"" сидда"" тохоламбасетыдамнё"" та' мальӈгана си""ми нида""нё"" пэрцету"""
/Users/air/Downloads/Ненецкие аудио/data/014_458107.66380653426_464852.84375.wav,"тарем' ӈэбта ӈод"" хэбидя падаркана падвы мал' хадкэбта тара тикы' пуд тохоламбадида сита хае мал' хуныд"""
/Users/air/Downloads/Ненецкие аудио/data/014_465865.34375_471595.6069526781.wav,ӈамгэхэв ӈопой ӈацекы хасава тохоцяри' ялри' ӈаянда ний синдё иисус' пумна миӈась
/Users/air/Downloads/Ненецкие аудио/data/014_472479.76293805445_482757.2187500001.wav,"саю"" сита ня""мара пя"" тохоця синд""мяримда хае хуркаси"" паркаси"" пыда хуны"" тадтикахад иисусм' ӈарка ханонданан' тэврадо'"
/Users/air/Downloads/Ненецкие аудио/data/014_483449.09375_492055.34375.wav,"таня' ӈарка ханондана"" ненэцие"" ӈаркта"" моисей' ватом' теневана"" мал' ма""лы"" петр ӈахакуд пумнанда ядвы"
/Users/air/Downloads/Ненецкие аудио/data/014_492848.46875000006_499935.96875.wav,"ӈарка ханондана' мяд' маряд' мю' мятю манзарани"" поӈгана ту' хэвхана пыхыдамда юдаба ӈамды"
/Users/air/Downloads/Ненецкие аудио/data/014_501117.21875_508542.21875.wav,"ӈарка ханондана"" серо тасламбади"" мандалм' няць иисусм' маядаванзь вэва серо пюрӈаць тадтикахад ӈамгэхэртм' хось я""ма"""
/Users/air/Downloads/Ненецкие аудио/data/014_509048.46875_515342.84374999994.wav,"тад ӈо"" хуркари ӈока ненэця"" иисус' ет' сиякавна лаханаць тикы сиякадо' ӈобт' ни"" ха""мор"""
/Users/air/Downloads/Ненецкие аудио/data/014_516473.46874999994_524442.6279789571.wav,"ханяӈыдо' юркорӈаць иисус' ет' сияк вади ӈадимдехэя тарем' лаханаць маня"" намдорӈаваць пыда тарем' лаханась"
/Users/air/Downloads/Ненецкие аудио/data/014_525120.2787702789_533584.7187500001.wav,"мань тюку ненэцие"" ӈудаха""на мивы хэбидя харадм' тахабтаӈгув няхар"" яля' ёльцьӈгана ӈани несэй харадм' ӈудаха""на нивы мивым' сертаӈгудм'"
/Users/air/Downloads/Ненецкие аудио/data/014_534377.84375_541634.0937500001.wav,"тикы ненэцие"" ваде""мэхэртадо' ӈобт' ни"" ха""мор"" ӈадьбята тикы' пуд ӈарка ханондана ненэцие"" ерт' нулць иисусм' хонра"
/Users/air/Downloads/Ненецкие аудио/data/014_542376.59375_550898.4687500001.wav,"пыдо' сит вомдартамби""нё"" пырдари' няндо' хэтувнда вадар яӈгу иисусхав мунзи ӈамгэхэртм' ни хэтабю"" ӈарка ханондана ӈани' хонрада"
/Users/air/Downloads/Ненецкие аудио/data/014_551590.3437500001_556922.8437500001.wav,"пыдар христосан ненэцие"" савута нум' нюн иисус нянда ма"
/Users/air/Downloads/Ненецкие аудио/data/014_557614.7187500001_563863.1986713588.wav,"манье пыдара"" ненэця' нюм' мэбета нум' маханяӈы ӈуда' хэвхана ӈамдёдаханда манэтара"""
/Users/air/Downloads/Ненецкие аудио/data/014_564488.6633875197_574489.7187500001.wav,"нув' тирхана ӈэдалё товамда манэтара"" ӈарка ханондана мэта имбытадода харта ниданда ӈадпахая ма"" нив' теда' нянана"" ӈамгэхэ""на яӈга сырта"" тара"""
/Users/air/Downloads/Ненецкие аудио/data/014_575080.3437500001_584580.96875.wav,"пыдара"" харта"" нум' ет' ӈэда вэнзу вади намдадаць пыдара"" теда' ханзер"" таслаӈгура"" ненэця"" мал' ӈокхандо' сита хадавандо' пирувна вэваӈэ тасладо'"
/Users/air/Downloads/Ненецкие аудио/data/014_585458.4687500001_594385.34375.wav,"ханяӈыдо' нянда сабцяра"" сята талахая тырепидо' тарем' лахана"" тадхава хибя' сит ладвам' ход"
/Users/air/Downloads/Ненецкие аудио/data/014_594891.5937500001_603109.71875.wav,"тикы' пуд манзарана"" ладорӈадо' та' ёльцьӈгана петркав ӈыл' няна харад' хэвхана мэвы"
/Users/air/Downloads/Ненецкие аудио/data/014_603818.46875_611294.09375.wav,"ӈарка ханондана' ӈопой манзарана недо' то пыда ту' хэвхана мэна петрм' манэ""манда сер' сита хамби""ле ма"
